Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.3,0.7
SPH+CPI,6,0.42,3.246031746031746,0.1,0.3,0.7
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.3,0.7
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.3,0.7
SPH+CPI,9,0.51,4.065359477124183,0.1,0.3,0.7
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.3,0.7
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.3,0.75
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.3,0.75
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.3,0.75
SPH+CPI,4,0.29,2.218390804597701,0.1,0.3,0.75
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.3,0.75
SPH+CPI,6,0.42,3.246031746031746,0.1,0.3,0.75
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.3,0.75
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.3,0.75
SPH+CPI,9,0.51,4.065359477124183,0.1,0.3,0.75
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.3,0.75
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.3,0.8
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.3,0.8
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.3,0.8
SPH+CPI,4,0.29,2.218390804597701,0.1,0.3,0.8
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.3,0.8
SPH+CPI,6,0.42,3.246031746031746,0.1,0.3,0.8
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.3,0.8
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.3,0.8
SPH+CPI,9,0.51,4.065359477124183,0.1,0.3,0.8
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.3,0.8
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.3,0.85
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.3,0.85
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.3,0.85
SPH+CPI,4,0.29,2.218390804597701,0.1,0.3,0.85
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.3,0.85
SPH+CPI,6,0.42,3.246031746031746,0.1,0.3,0.85
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.3,0.85
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.3,0.85
SPH+CPI,9,0.51,4.065359477124183,0.1,0.3,0.85
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.3,0.85
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.3,0.9
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.3,0.9
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.3,0.9
SPH+CPI,4,0.29,2.218390804597701,0.1,0.3,0.9
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.3,0.9
SPH+CPI,6,0.42,3.246031746031746,0.1,0.3,0.9
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.3,0.9
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.3,0.9
SPH+CPI,9,0.51,4.065359477124183,0.1,0.3,0.9
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.3,0.9
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.35,0.7
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.35,0.7
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.35,0.7
SPH+CPI,4,0.29,2.218390804597701,0.1,0.35,0.7
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.35,0.7
SPH+CPI,6,0.42,3.246031746031746,0.1,0.35,0.7
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.35,0.7
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.35,0.7
SPH+CPI,9,0.51,4.065359477124183,0.1,0.35,0.7
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.35,0.7
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.35,0.75
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.35,0.75
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.35,0.75
SPH+CPI,4,0.29,2.218390804597701,0.1,0.35,0.75
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.35,0.75
SPH+CPI,6,0.42,3.246031746031746,0.1,0.35,0.75
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.35,0.75
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.35,0.75
SPH+CPI,9,0.51,4.065359477124183,0.1,0.35,0.75
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.35,0.75
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.35,0.8
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.35,0.8
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.35,0.8
SPH+CPI,4,0.29,2.218390804597701,0.1,0.35,0.8
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.35,0.8
SPH+CPI,6,0.42,3.246031746031746,0.1,0.35,0.8
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.35,0.8
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.35,0.8
SPH+CPI,9,0.51,4.065359477124183,0.1,0.35,0.8
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.35,0.8
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.35,0.85
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.35,0.85
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.35,0.85
SPH+CPI,4,0.29,2.218390804597701,0.1,0.35,0.85
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.35,0.85
SPH+CPI,6,0.42,3.246031746031746,0.1,0.35,0.85
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.35,0.85
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.35,0.85
SPH+CPI,9,0.51,4.065359477124183,0.1,0.35,0.85
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.35,0.85
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.35,0.9
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.35,0.9
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.35,0.9
SPH+CPI,4,0.29,2.218390804597701,0.1,0.35,0.9
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.35,0.9
SPH+CPI,6,0.42,3.246031746031746,0.1,0.35,0.9
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.35,0.9
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.35,0.9
SPH+CPI,9,0.51,4.065359477124183,0.1,0.35,0.9
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.35,0.9
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.4,0.7
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.4,0.7
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.4,0.7
SPH+CPI,4,0.29,2.218390804597701,0.1,0.4,0.7
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.4,0.7
SPH+CPI,6,0.42,3.246031746031746,0.1,0.4,0.7
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.4,0.7
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.4,0.7
SPH+CPI,9,0.51,4.065359477124183,0.1,0.4,0.7
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.4,0.7
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.4,0.75
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.4,0.75
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.4,0.75
SPH+CPI,4,0.29,2.218390804597701,0.1,0.4,0.75
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.4,0.75
