Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH+CPI,4,0.49,2.038775510204081,0.1,0.35,0.85
SPH+CPI,5,0.52,2.2153846153846155,0.1,0.35,0.85
SPH+CPI,6,0.5566666666666666,2.47125748502994,0.1,0.35,0.85
SPH+CPI,7,0.58,2.657471264367816,0.1,0.35,0.85
SPH+CPI,8,0.5933333333333334,2.7797752808988765,0.1,0.35,0.85
SPH+CPI,9,0.6133333333333333,2.985869565217391,0.1,0.35,0.85
SPH+CPI,10,0.6366666666666667,3.2465968586387435,0.1,0.35,0.85
SPH+CPI,1,0.23,1.0,0.1,0.35,0.9
SPH+CPI,2,0.3333333333333333,1.41,0.1,0.35,0.9
SPH+CPI,3,0.4266666666666667,1.7796875,0.1,0.35,0.9
SPH+CPI,4,0.49,2.0795918367346937,0.1,0.35,0.9
SPH+CPI,5,0.53,2.307547169811321,0.1,0.35,0.9
SPH+CPI,6,0.57,2.573684210526316,0.1,0.35,0.9
SPH+CPI,7,0.59,2.727118644067797,0.1,0.35,0.9
SPH+CPI,8,0.6066666666666667,2.8747252747252743,0.1,0.35,0.9
SPH+CPI,9,0.6233333333333333,3.041176470588236,0.1,0.35,0.9
SPH+CPI,10,0.6466666666666666,3.295876288659794,0.1,0.35,0.9
SPH+CPI,1,0.24,1.0,0.1,0.4,0.7
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.4,0.7
SPH+CPI,3,0.4366666666666666,1.7488549618320612,0.1,0.4,0.7
SPH+CPI,4,0.49,2.0047619047619047,0.1,0.4,0.7
SPH+CPI,5,0.52,2.183333333333333,0.1,0.4,0.7
SPH+CPI,6,0.5633333333333334,2.4846153846153847,0.1,0.4,0.7
SPH+CPI,7,0.5866666666666667,2.6681818181818184,0.1,0.4,0.7
SPH+CPI,8,0.6033333333333334,2.818232044198896,0.1,0.4,0.7
SPH+CPI,9,0.63,3.0841269841269843,0.1,0.4,0.7
SPH+CPI,10,0.65,3.3000000000000003,0.1,0.4,0.7
SPH+CPI,1,0.24,1.0,0.1,0.4,0.75
SPH+CPI,2,0.35,1.4142857142857146,0.1,0.4,0.75
SPH+CPI,3,0.4333333333333333,1.7384615384615385,0.1,0.4,0.75
SPH+CPI,4,0.49,2.01156462585034,0.1,0.4,0.75
